overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
81,S03E21,/wiki/Eid_-_New_Clothes,Eid's New Clothes,29 September 1997,_F1yV2jCNwA,722,623977
82,S03E22,/wiki/Picking_and_Sorting,Picking and Sorting,30 September 1997,07bFa0u7C_I,681,546191
83,S03E23,/wiki/Numbers_-_9,Numbers: 9,1 October 1997,HYt1OtGeyas,1019,789749
84,S03E24,/wiki/Going_to_School_By_Boat,Going to School by Boat,2 October 1997,4sRJF7LDhes,779,656242
85,S03E25,/wiki/Squirrels,Squirrels,3 October 1997,lHOjQrG3h9A,322,238889
86,S03E26,/wiki/Dry_Stone_Wall,Stone Wall,6 October 1997,K1Q0s_jaOic,514,378345
87,S03E27,/wiki/Urban_Birds,Urban Birds,7 October 1997,xkFaOzhIK4E,2829,1939173
88,S03E28,/wiki/Bubble_Pictures,Bubble Pictures,8 October 1997,tZjWDDUSVwU,6163,4389433
89,S03E29,/wiki/Good_Morning,Good Morning,9 October 1997,-2VDXbU7WOk,260,213907
90,S03E30,/wiki/Numbers_-_8,Numbers: 8,10 October 1997,8GNqkBUUJfE,1702,1708398
91,S03E31,/wiki/Monkey_Safari,Monkey Safari,13 October 1997,Nr3_0a9qwS0,958,972570
92,S03E32,/wiki/Leaves,Leaves,14 October 1997,2xEz533foLI,624,579628
93,S03E33,/wiki/Flamenco_Guitar,Flamenco Guitar,15 October 1997,sz99wV3JiIM,3205,2586192
94,S03E34,/wiki/Numbers_-_1_(Version_2),Numbers: 1 (Version 2),16 October 1997,tuDWMqOhvIk,609,592511
95,S03E35,/wiki/Stop_and_Go,Stop and Go,17 October 1997,fUw5IPOWxkI,1660,1493634
96,S03E36,/wiki/Chinese_New_Year,Chinese New Year,20 October 1997,kedCosn-d-A,3353,2087304
97,S03E37,/wiki/Pancakes,Pancakes,21 October 1997,si7Q5_qklWg,983,865863
98,S03E38,/wiki/Funghi_the_Dolphin,Fungie the Dolphin,22 October 1997,Cuke8K2knZw,207,141033
99,S03E39,/wiki/Music_with_Debbie_2,Music with Debbie (2),23 October 1997,Y2g7QrifGIE,145,143232
100,S03E40,/wiki/Mandir_Temple,Mandir Temple,24 October 1997,tkL9UG4WKFY,685,605304
101,S04E01,/wiki/Little_Baby,Little Baby,8 December 1997,Ggp6rbju4ik,2772,2073860
102,S04E02,/wiki/How_Things_Swim,How Things Swim,9 December 1997,AgC1CFISch8,5123,5257958
103,S04E03,/wiki/Naughty_Horse,Naughty Horse,10 December 1997,MK3aphVrxII,1068,840906
104,S04E04,/wiki/Bell_Ringing,Bell Ringing,11 December 1997,VgiASEw2bIY,2261,1908091
105,S04E05,/wiki/Colours_-_Blue,Colours: Blue,12 December 1997,vcgwjK6Oyiw,1288,1059472
106,S04E06,/wiki/Christening,Christening,15 December 1997,NcxspTRGezc,580,496845
107,S04E07,/wiki/Feeding_the_Sheep_in_Winter,Feeding the Sheep in Winter,16 December 1997,mCHjA3u8Fqk,769,621637
108,S04E08,/wiki/Hanukkah,Hanukkah,17 December 1997,s1fBdwuEmr8,808,906912
109,S04E09,/wiki/Washing_Up,Washing Up,18 December 1997,Sz7JpL8jRRo,22115,14816834
110,S04E10,/wiki/Numbers_-_5_(Version_2),Numbers: 5 (Version 2),19 December 1997,e1Yc4G6vvTY,4033,1923672
111,S04E11,/wiki/Christmas_Tree,Christmas Tree,22 December 1997,_FNSDQSkJKE,2931,2603071
112,S04E12,/wiki/Making_Christmas_Cards,Making Christmas Cards,23 December 1997,-1pdZWB3LT8,2357,2522636
113,S04E13,/wiki/Crackers,Christmas Crackers,24 December 1997,3-Gu_W3zKb0,5320,3936872
114,S04E14,/wiki/Christmas_Carols,Christmas Carols,25 December 1997,ap_W9y7TBMs,664,831357
115,S04E15,/wiki/Snowy_Story,Snowy Story,26 December 1997,kbLlQzje_5Q,3035,2562202
116,S04E16,/wiki/Level_Crossing,Level Crossing,29 December 1997,AkASwd_jB8o,647,516794
117,S04E17,/wiki/Becky_and_Jed_Finding_Eggs,Becky and Jed Finding Eggs,30 December 1997,XcRwSIZPvYQ,3374,2143656
